shelter,address,city,prov,postcode,full_address,gcode,lat,long
Seaton House,339 George Street,Toronto,ON,M5A-2N2,"339 George Street,Toronto,ON,","339, George Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.65970045278059,-79.37432335449446
Women's Residence,674 Dundas St. W,Toronto,ON,M5T 1H9,"674 Dundas St. W,Toronto,ON,","674, Dundas Street West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2W6, Canada",43.6518512,-79.4036296
Cornerstone Place,616 Vaughan Road Toronto,Toronto,ON,M6C 1C2,"616 Vaughan Road Toronto,Toronto,ON,","616, Vaughan Road, Toronto—St. Paul's, York, Toronto, Golden Horseshoe, Ontario, M6C 2R1, Canada",43.6919186,-79.4398677
Covenant House,20 Gerrard Street East,Toronto,ON,M5B 2P3,"20 Gerrard Street East,Toronto,ON,","20, Gerrard Street East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1G7, Canada",43.6595035,-79.3814353
Dixon Hall - Heyworth House,2714 Danforth Avenue,Toronto,ON,M4C 1L7,"2714 Danforth Avenue,Toronto,ON,","2714, Danforth Avenue, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4C 1L7, Canada",43.689112648000005,-79.298146284
Dixon Hall - Schoolhouse,349 George Street,Toronto,ON,M5A 2N2,"349 George Street,Toronto,ON,","349, George Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.660052,-79.374465
Eva's Phoenix,60 Brant Street,Toronto,ON,M5V 3G9,"60 Brant Street,Toronto,ON,","Brant Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1L7, Canada",43.6450529,-79.3976462
Eva's Place,360 Lesmill Road,North York,ON,M3B 2T5,"360 Lesmill Road,North York,ON,","Eva's Initiatives, 360, Lesmill Road, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M3B 2M3, Canada",43.763328,-79.3609144199367
Eva's Satellite,25 Canterbury Place,North York,ON,M2N OE3,"25 Canterbury Place,North York,ON,","Eva's Satellite, 25, Canterbury Place, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 2N1, Canada",43.77280625,-79.41474913815213
Fife House Transitional Program,490 Sherbourne Street,Toronto,ON,M4X 1K9,"490 Sherbourne Street,Toronto,ON,","Wellsley Central Residences, 490, Sherbourne Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 1J2, Canada",43.66762845,-79.37530618974878
